LAST SEEN   TYPE      REASON                  OBJECT                                                              MESSAGE
43m         Normal    Killing                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Stopping container persistence-connection-pool
43m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container persistence-repmgr-log
43m         Normal    Killing                 pod/dx-deployment-ring-api-69d69497d5-74j5k                         Stopping container ring-api
43m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container system-out-log
43m         Normal    Killing                 pod/dx-deployment-web-engine-0                                      Stopping container web-engine
43m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container persistence-node
43m         Normal    Killing                 pod/dx-deployment-runtime-controller-7b474b9bbf-j4npp               Stopping container runtime-controller
43m         Normal    Killing                 pod/dx-deployment-persistence-node-0                                Stopping container persistence-metrics-exporter
43m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                      Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
43m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-swklz      Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
43m         Warning   Unhealthy               pod/dx-deployment-content-composer-79d7fd546f-zd78t                 Readiness probe failed: HTTP probe failed with statuscode: 500
43m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-74j5k                         Readiness probe failed: HTTP probe failed with statuscode: 500
43m         Warning   Unhealthy               pod/dx-deployment-digital-asset-management-0                        Readiness probe failed: HTTP probe failed with statuscode: 503
42m         Normal    SuccessfulCreate        statefulset/dx-deployment-web-engine                                create Pod dx-deployment-web-engine-0 in StatefulSet dx-deployment-web-engine successful
42m         Normal    ExternalProvisioning    persistentvolumeclaim/customization-dx-deployment-web-engine-0      Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
42m         Normal    Provisioning            persistentvolumeclaim/customization-dx-deployment-web-engine-0      External provisioner is provisioning volume for claim "digital-experience/customization-dx-deployment-web-engine-0"
