LAST SEEN   TYPE      REASON                  OBJECT                                                            MESSAGE
14m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Liveness probe failed: Get "http://10.128.3.63:3000/probe/live": dial tcp 10.128.3.63:3000: connect: connection refused
14m         Warning   Unhealthy               pod/dx-deployment-ring-api-69d69497d5-pdcvj                       Readiness probe failed: Get "http://10.128.3.63:3000/probe/ready": dial tcp 10.128.3.63:3000: connect: connection refused
14m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
14m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
14m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
13m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
13m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
13m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                    Readiness probe failed:
13m         Warning   Unhealthy               pod/dx-deployment-web-engine-0                                    Liveness probe failed:
13m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
13m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller...
13m         Warning   Unhealthy               pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    (combined from similar events): Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
13m         Normal    Killing                 pod/dx-deployment-persistence-connection-pool-7c47cc988f-qfl2c    Container persistence-connection-pool failed liveness probe, will be restarted
