LAST SEEN   TYPE      REASON                          OBJECT                                                            MESSAGE
16m         Normal    ExternalProvisioning            persistentvolumeclaim/customization-dx-deployment-web-engine-0    Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-client-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
16m         Normal    ProvisioningSucceeded           persistentvolumeclaim/log-dx-deployment-web-engine-0              Successfully provisioned volume pvc-a94f3baa-8786-4657-bd70-674dc5b913f3
16m         Normal    AddedInterface                  pod/dx-deployment-image-processor-747c9457fc-9wc9v                Add eth0 [10.129.3.67/23] from ovn-kubernetes
16m         Normal    Created                         pod/dx-deployment-content-composer-79d7fd546f-9cjbr               Created container: content-composer
16m         Normal    Started                         pod/dx-deployment-content-composer-79d7fd546f-9cjbr               Started container content-composer
16m         Normal    AddedInterface                  pod/dx-deployment-digital-asset-management-0                      Add eth0 [10.128.2.54/23] from ovn-kubernetes
16m         Normal    ProvisioningSucceeded           persistentvolumeclaim/database-dx-deployment-persistence-node-0   Successfully provisioned volume pvc-fac814c8-c26c-434a-ab90-e84c943a0fce
16m         Normal    Created                         pod/dx-deployment-runtime-controller-7b474b9bbf-rxqlh             Created container: runtime-controller
16m         Normal    Created                         pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Created container: haproxy
16m         Normal    Started                         pod/dx-deployment-ring-api-69d69497d5-wh42c                       Started container ring-api
16m         Normal    Created                         pod/dx-deployment-ring-api-69d69497d5-wh42c                       Created container: ring-api
16m         Normal    AddedInterface                  pod/dx-deployment-runtime-controller-7b474b9bbf-rxqlh             Add eth0 [10.129.3.65/23] from ovn-kubernetes
16m         Normal    Pulled                          pod/dx-deployment-ring-api-69d69497d5-wh42c                       Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-ringapi:v1.44.0_20251024-1347" already present on machine
16m         Warning   Unhealthy                       pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Readiness probe failed: Get "http://10.128.2.53:10001/": dial tcp 10.128.2.53:10001: connect: connection refused
16m         Normal    Started                         pod/dx-deployment-digital-asset-management-0                      Started container prereqs-checker
16m         Normal    AddedInterface                  pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Add eth0 [10.129.3.68/23] from ovn-kubernetes
16m         Normal    Created                         pod/dx-deployment-digital-asset-management-0                      Created container: prereqs-checker
16m         Normal    Started                         pod/dx-deployment-runtime-controller-7b474b9bbf-rxqlh             Started container runtime-controller
16m         Warning   FailedScheduling                pod/dx-deployment-persistence-node-0                              0/6 nodes are available: pod has unbound immediate PersistentVolumeClaims. preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling.
16m         Normal    Scheduled                       pod/dx-deployment-persistence-node-0                              Successfully assigned digital-experience/dx-deployment-persistence-node-0 to worker-2
16m         Normal    AddedInterface                  pod/dx-deployment-persistence-node-0                              Add eth0 [10.131.1.191/23] from ovn-kubernetes
16m         Normal    Pulled                          pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
16m         Normal    Started                         pod/dx-deployment-image-processor-747c9457fc-9wc9v                Started container image-processor
16m         Normal    Created                         pod/dx-deployment-image-processor-747c9457fc-9wc9v                Created container: image-processor
16m         Normal    Pulled                          pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-metrics-exporter:v1.39.0_20251024-1357" already present on machine
16m         Normal    Created                         pod/dx-deployment-persistence-node-0                              Created container: persistence-metrics-exporter
16m         Normal    Started                         pod/dx-deployment-persistence-node-0                              Started container persistence-metrics-exporter
16m         Normal    Pulled                          pod/dx-deployment-runtime-controller-7b474b9bbf-rxqlh             Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-runtime-controller:v95_CF231_20251024-1351" already present on machine
16m         Normal    Pulled                          pod/dx-deployment-digital-asset-management-0                      Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-prereqs-checker:v1.0.0_20251024-1353" already present on machine
16m         Normal    Started                         pod/dx-deployment-haproxy-8cc95c9c9-htz5g                         Started container haproxy
16m         Normal    Pulled                          pod/dx-deployment-image-processor-747c9457fc-9wc9v                Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-image-processor:v1.44.0_20251024-1405" already present on machine
16m         Normal    Created                         pod/dx-deployment-web-engine-0                                    Created container: web-engine
16m         Normal    Started                         pod/dx-deployment-persistence-node-0                              Started container prereqs-checker
16m         Normal    Pulled                          pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
16m         Normal    Started                         pod/dx-deployment-persistence-node-0                              Started container persistence-repmgr-log
16m         Normal    Created                         pod/dx-deployment-persistence-node-0                              Created container: persistence-repmgr-log
16m         Normal    Pulled                          pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-webengine:CF231_20251025-2351" already present on machine
16m         Normal    Created                         pod/dx-deployment-persistence-node-0                              Created container: prereqs-checker
16m         Normal    Started                         pod/dx-deployment-web-engine-0                                    Started container web-engine
16m         Normal    Created                         pod/dx-deployment-web-engine-0                                    Created container: system-out-log
16m         Normal    Started                         pod/dx-deployment-web-engine-0                                    Started container system-out-log
16m         Normal    Pulled                          pod/dx-deployment-web-engine-0                                    Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-logging-sidecar:v1.0.0_20251024-1349" already present on machine
16m         Normal    Created                         pod/dx-deployment-web-engine-0                                    Created container: trace-log
16m         Normal    Pulled                          pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-prereqs-checker:v1.0.0_20251024-1353" already present on machine
16m         Normal    AddedInterface                  pod/dx-deployment-web-engine-0                                    Add eth0 [10.129.3.69/23] from ovn-kubernetes
16m         Normal    Started                         pod/dx-deployment-web-engine-0                                    Started container trace-log
16m         Warning   Unhealthy                       pod/dx-deployment-persistence-node-0                              Liveness probe failed: 2
psql: error: connection to server on socket "/run/postgresql/.s.PGSQL.5432" failed: No such file or directory
            Is the server running locally and accepting connections on that socket?
16m         Warning   Unhealthy                       pod/dx-deployment-persistence-node-0                              Readiness probe failed: Postgres Server is not ready
psql: error: connection to server on socket "/run/postgresql/.s.PGSQL.5432" failed: No such file or directory
            Is the server running locally and accepting connections on that socket?
16m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:41:21.59 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: FATAL:  failed to create a backend connection
DETAIL:  executing failover on backend
15m         Normal    Pulled                          pod/dx-deployment-persistence-node-0                              Container image "image-registry.openshift-image-registry.svc:5000/openshift/dx-persistence-node:v1.31_20251024-1354" already present on machine
15m         Normal    Started                         pod/dx-deployment-persistence-node-0                              Started container persistence-node
15m         Normal    Created                         pod/dx-deployment-persistence-node-0                              Created container: persistence-node
15m         Warning   Unhealthy                       pod/dx-deployment-ring-api-69d69497d5-wh42c                       Liveness probe failed: Get "http://10.129.3.66:3000/probe/live": dial tcp 10.129.3.66:3000: connect: connection refused
15m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:41:47.70 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
15m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:41:51.60 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
15m         Warning   Unhealthy                       pod/dx-deployment-ring-api-69d69497d5-wh42c                       Readiness probe failed: Get "http://10.129.3.66:3000/probe/ready": dial tcp 10.129.3.66:3000: connect: connection refused
15m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:42:00.96 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
15m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:42:17.68 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
14m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:42:30.96 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
14m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:42:47.67 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
14m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                                    Readiness probe failed:
14m         Warning   Unhealthy                       pod/dx-deployment-web-engine-0                                    Liveness probe failed:
14m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Readiness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:43:00.96 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
14m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    (combined from similar events): Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
14m         Normal    Killing                         pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Container persistence-connection-pool failed liveness probe, will be restarted
14m         Warning   Unhealthy                       pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Liveness probe failed: NEW_DB_MANAGEMENT not enabled - pgPool will not be managed via the runtime controller
[38;5;6mpgpool [38;5;5m20:43:17.69 [0m[38;5;2mINFO [0m ==> Checking pgpool health...
psql: error: connection to server on socket "/tmp/.s.PGSQL.5432" failed: ERROR:  pgpool is not accepting any new connections
DETAIL:  all backend nodes are down, pgpool requires at least one valid node
HINT:  repair the backend nodes and restart pgpool
14m         Normal    Started                         pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Started container persistence-connection-pool
14m         Normal    Created                         pod/dx-deployment-persistence-connection-pool-7c47cc988f-pfld9    Created container: persistence-connection-pool
